building_id,room_id,room_name,capacity,floor,room_type
comprehensive,綜101,綜101,80,1,一般教室
comprehensive,綜102,綜102,80,1,一般教室
comprehensive,綜103,綜103,60,1,一般教室
comprehensive,綜201,綜201,120,2,階梯教室
comprehensive,綜202,綜202,80,2,一般教室
comprehensive,綜203,綜203,80,2,一般教室
comprehensive,綜301,綜301,60,3,一般教室
comprehensive,綜302,綜302,60,3,一般教室
comprehensive,綜303,綜303,40,3,研討室
comprehensive,綜401,綜401,80,4,一般教室
comprehensive,綜402,綜402,80,4,一般教室
education,教101,教101,60,1,一般教室
education,教102,教102,60,1,一般教室
education,教103,教103,40,1,一般教室
education,教201,教201,200,2,會議廳
education,教202,教202,150,2,會議廳
education,教301,教301,40,3,研討室
education,教302,教302,40,3,研討室
science_engineering,科101,科101,60,1,一般教室
science_engineering,科102,科102,40,1,實驗室
science_engineering,科201,科201,80,2,一般教室
science_engineering,科202,科202,80,2,一般教室
science_engineering,科301,科301,40,3,電腦教室
science_engineering,科302,科302,40,3,實驗室
science_engineering,科401,科401,60,4,一般教室
