room_id,day_of_week,slot_start,slot_end,course_or_usage
綜101,1,1,2,教育心理學
綜101,1,3,4,學習科學
綜101,1,5,6,統計學
綜101,2,2,4,教學設計
綜101,2,6,7,國文
綜101,3,1,3,英文
綜101,4,4,6,教育研究法
綜101,5,2,4,課程發展
綜102,1,2,4,數學
綜102,1,6,8,物理
綜102,2,1,3,化學
綜102,3,4,6,生物
綜102,4,2,4,地科
綜102,5,5,7,資訊
綜103,1,3,5,體育理論
綜103,2,5,7,健康教育
綜103,4,1,3,通識
綜201,1,1,3,大一國文合班
綜201,2,4,6,大一英文合班
綜201,3,2,4,教育概論
綜201,5,1,3,通識講座
綜202,1,4,6,心理測驗
綜202,2,1,3,諮商理論
綜202,4,3,5,輔導原理
綜203,2,5,7,教材教法
綜203,3,6,8,教學實習
綜301,1,2,4,教育哲學
綜301,3,1,3,比較教育
綜301,5,4,6,教育行政
綜302,2,3,5,教育社會學
綜302,4,2,4,教育經濟學
綜303,1,5,6,研討
綜303,3,4,5,研討
綜303,5,2,3,研討
綜401,1,6,8,特殊教育
綜401,2,1,3,資優教育
綜401,4,5,7,融合教育
綜402,2,4,6,幼兒發展
綜402,3,3,5,幼教課程
綜402,5,1,3,幼教教材
教101,1,1,3,教育心理學
教101,1,5,6,導師時間
教101,2,2,4,教學媒體
教101,3,1,3,教育統計
教101,4,4,6,教育測驗
教102,1,3,5,成人教育
教102,2,1,3,終身學習
教102,4,2,4,社區教育
教102,5,3,5,高齡教育
教103,2,5,6,小組討論
教103,4,1,2,小組討論
教201,1,4,6,全校週會
教201,3,2,4,大型演講
教201,5,4,6,研討會
教202,2,3,5,工作坊
教202,4,3,5,論壇
教301,1,6,7,論文討論
教301,3,5,6,論文討論
教302,2,6,7,論文討論
教302,5,5,6,論文討論
科101,1,1,3,微積分
科101,1,5,6,線代
科101,2,2,4,普通物理
科101,3,1,3,普通化學
科101,4,4,6,程式設計
科102,1,4,6,物理實驗
科102,2,5,7,化學實驗
科102,4,1,3,實驗
科201,1,2,4,電路學
科201,2,1,3,電子學
科201,3,4,6,電磁學
科201,5,2,4,光電概論
科202,2,4,6,材料科學
科202,3,2,4,機械製圖
科202,4,3,5,熱力學
科301,1,3,5,資料結構
科301,2,6,8,演算法
科301,4,1,3,作業系統
科302,3,5,7,專題實驗
科302,5,1,3,專題實驗
科401,1,4,6,固態物理
科401,3,1,3,量子力學
科401,5,4,6,半導體
